"trial","ref_position","var_area","response","correct","rt"
1,"R",14.462533143349,"L",TRUE,5.23699998855591
2,"R",12.2344659976661,"L",TRUE,1.56800007820129
3,"R",10.3990790965036,"L",TRUE,1.58200001716614
4,"R",8.22533044614829,"R",TRUE,1.88499999046326
5,"L",14.8413477914874,"R",TRUE,1.69300007820129
6,"L",12.0529265485238,"R",TRUE,1.57800006866455
7,"R",10.4784780656919,"L",TRUE,1.47800016403198
8,"L",10.9777070358396,"L",FALSE,1.49600005149841
9,"L",12.9098824304529,"R",TRUE,1.1010000705719
10,"L",11.9044803117868,"R",TRUE,1.39499998092651
11,"R",9.26157100056298,"R",FALSE,1.48600006103516
12,"L",14.1901623439044,"R",TRUE,1.38599991798401
13,"R",11.6807142414618,"L",TRUE,2.00499987602234
14,"R",13.2272457375657,"L",TRUE,1.29900002479553
15,"L",8.16756429336965,"L",TRUE,1.37100005149841
16,"R",11.9274590453133,"L",TRUE,1.37799978256226
17,"L",14.5232447930612,"R",TRUE,1.57500004768372
18,"L",12.850405678153,"R",TRUE,1.19599986076355
19,"R",12.7408773843199,"L",TRUE,1.89000010490417
20,"L",14.609980155481,"R",TRUE,1.68400001525879